x,y,z
125.0,300.0,0.96692707
125.0,325.0,0.969429399
125.0,350.0,0.976272707
125.0,375.0,0.985219734
125.0,400.0,0.993566351
125.0,425.0,0.998747214
125.0,450.0,0.999492596
125.0,475.0,0.996073479
125.0,500.0,0.990175799
125.0,525.0,0.984135154
125.0,550.0,0.980105247
125.0,575.0,0.979298624
125.0,600.0,0.981931605
125.0,625.0,0.987024025
125.0,650.0,0.99286251
125.0,675.0,0.997566194
125.0,700.0,0.999627136
125.0,725.0,0.998592223
125.0,750.0,0.995048075
125.0,775.0,0.990430018
125.0,800.0,0.986446481
150.0,300.0,0.963034573
150.0,325.0,0.968170685
150.0,350.0,0.97717689
150.0,375.0,0.987019415
150.0,400.0,0.99463635925
150.0,425.0,0.99792779
150.0,450.0,0.996413105
150.0,475.0,0.991274895
150.0,500.0,0.9850523255
150.0,525.0,0.979690629
150.0,550.0,0.9780647883333332
150.0,575.0,0.979906589
150.0,600.0,0.9849418096666667
150.0,625.0,0.991326695
150.0,650.0,0.996786461
150.0,675.0,0.999762726
150.0,700.0,0.999390993
150.0,725.0,0.996035663
150.0,750.0,0.9914702065
150.0,775.0,0.987072887
150.0,800.0,0.984857423
175.0,300.0,0.9531486
175.0,325.0,0.962030427
175.0,350.0,0.973751503
175.0,375.0,0.984478601
175.0,400.0,0.9907924979999999
175.0,425.0,0.99149959
175.0,450.0,0.98760331
175.0,475.0,0.981398698
175.0,500.0,0.975910025
175.0,525.0,0.972726656
175.0,550.0,0.9749966695000001
175.0,575.0,0.980589481
175.0,600.0,0.988050493
175.0,625.0,0.994978025
175.0,650.0,0.998836821
175.0,675.0,0.998967999
175.0,700.0,0.995804723
175.0,725.0,0.990538872
175.0,750.0,0.9862596415
175.0,775.0,0.983602235
175.0,800.0,0.984461826
200.0,300.0,0.948052378
200.0,325.0,0.958885622
200.0,350.0,0.968867962
200.0,375.0,0.975470123
200.0,400.0,0.9765556390000001
200.0,425.0,0.974175139
200.0,450.0,0.9697535485
200.0,475.0,0.965795711
200.0,500.0,0.9640883899999999
200.0,525.0,0.96592396
200.0,550.0,0.973501391
200.0,575.0,0.982404918
200.0,600.0,0.990443361
200.0,625.0,0.996815118
200.0,650.0,0.9982880215000001
200.0,675.0,0.996282548
200.0,700.0,0.9924340415
200.0,725.0,0.987807672
200.0,750.0,0.9858324465
200.0,775.0,0.985758118
200.0,800.0,0.988622592
225.0,300.0,0.95931547
225.0,325.0,0.96510061
225.0,350.0,0.9695588126666667
225.0,375.0,0.9729035869999999
225.0,400.0,0.9755883194999999
225.0,425.0,0.9772231055
225.0,450.0,0.9788762289999999
225.0,475.0,0.981501557
225.0,500.0,0.9851728795
225.0,525.0,0.989903913
225.0,550.0,0.9932105945
225.0,575.0,0.995929258
225.0,600.0,0.995130258
225.0,625.0,0.991256967
225.0,650.0,0.985491057
225.0,675.0,0.978560556
225.0,700.0,0.973506816
225.0,725.0,0.9715399
225.0,750.0,0.97341214
225.0,775.0,0.978543427
225.0,800.0,0.985474018
250.0,300.0,0.9709146
250.0,325.0,0.972089414
250.0,350.0,0.972780906
250.0,375.0,0.9736697186666667
250.0,400.0,0.9741188183333334
250.0,425.0,0.975782953
250.0,450.0,0.97770961825
250.0,475.0,0.9811447529999999
250.0,500.0,0.98444899825
250.0,525.0,0.988100027
250.0,550.0,0.9887790683333333
250.0,575.0,0.986809348
250.0,600.0,0.98358248075
250.0,625.0,0.976687462
250.0,650.0,0.9732884835
250.0,675.0,0.969704155
250.0,700.0,0.971632575
250.0,725.0,0.977237817
250.0,750.0,0.984884249
250.0,775.0,0.992251605
250.0,800.0,0.997144086
275.0,300.0,0.971707816
275.0,325.0,0.970498031
275.0,350.0,0.9701117496666667
275.0,375.0,0.971494897
275.0,400.0,0.971284593
275.0,425.0,0.973599729
275.0,450.0,0.9768962913333334
275.0,475.0,0.979735391
275.0,500.0,0.9817581350000001
275.0,525.0,0.980992126
275.0,550.0,0.9800490065
275.0,575.0,0.97727466
275.0,600.0,0.976530557
275.0,625.0,0.976648477
275.0,650.0,0.980023077
275.0,675.0,0.985332445
275.0,700.0,0.991301726
275.0,725.0,0.996490641
275.0,750.0,0.999415502
275.0,775.0,0.999046978
275.0,800.0,0.995041008
300.0,300.0,0.968167582
300.0,325.0,0.965350793
300.0,350.0,0.9654705724999999
300.0,375.0,0.966046631
300.0,400.0,0.96760375125
300.0,425.0,0.9706416579999999
300.0,450.0,0.9734024080000001
300.0,475.0,0.975294618
300.0,500.0,0.97684484525
300.0,525.0,0.975639698
300.0,550.0,0.9781253830000001
300.0,575.0,0.979196457
300.0,600.0,0.9834749273333333
300.0,625.0,0.987686556
300.0,650.0,0.992512752
300.0,675.0,0.996706657
300.0,700.0,0.999398782
300.0,725.0,0.999642658
300.0,750.0,0.996736108
300.0,775.0,0.990674912
300.0,800.0,0.982553629
325.0,300.0,0.961304073
325.0,325.0,0.95891937
325.0,350.0,0.959582249
325.0,375.0,0.960561837
325.0,400.0,0.9632907635
325.0,425.0,0.965545457
325.0,450.0,0.968458218
325.0,475.0,0.970572374
325.0,500.0,0.974479967
325.0,525.0,0.977746906
325.0,550.0,0.982665437
325.0,575.0,0.987108597
325.0,600.0,0.9912986855
325.0,625.0,0.995110526
325.0,650.0,0.997660404
325.0,675.0,0.998579815
325.0,700.0,0.997274047
325.0,725.0,0.993395151
325.0,750.0,0.987263678
325.0,775.0,0.980069756
325.0,800.0,0.973674063
350.0,300.0,0.931355447
350.0,325.0,0.932854366
350.0,350.0,0.937435103
350.0,375.0,0.9446999279999999
350.0,400.0,0.9561535405
350.0,425.0,0.969482866
350.0,450.0,0.9829821919999999
350.0,475.0,0.992740178
350.0,500.0,0.998223877
350.0,525.0,0.999723436
350.0,550.0,0.998360007
350.0,575.0,0.995229274
350.0,600.0,0.9903755075
350.0,625.0,0.983730547
350.0,650.0,0.975476672
350.0,675.0,0.966174172
350.0,700.0,0.957194246
350.0,725.0,0.951208937
350.0,750.0,0.950491969
350.0,775.0,0.955587033
350.0,800.0,0.965232868
375.0,850.0,0.999691308
375.0,900.0,0.993052853
400.0,825.0,0.507502828
400.0,850.0,0.586907626
400.0,875.0,0.682564548
400.0,900.0,0.771135362
425.0,825.0,0.868762879
425.0,850.0,0.909435445
425.0,875.0,0.941899293
425.0,900.0,0.96496312
450.0,825.0,0.856115189
450.0,850.0,0.874622996
450.0,875.0,0.875855325
450.0,900.0,0.858593995
475.0,825.0,0.887674654
